"id","ticker","price","change_amount","change_percentage","volume","category","date_fetched"
182,NOVVU,35.33,23.18,"190.7819%",17976,top_gainers,2024-09-15 08:01:36.714
183,NOVV,37.3,23.76,"175.4801%",205220,top_gainers,2024-09-15 08:01:36.749
184,HHGCW,0.0081,0.0051,"170.0%",1318,top_gainers,2024-09-15 08:01:36.784
185,SMX,5.95,3.5,"142.8571%",49583555,top_gainers,2024-09-15 08:01:36.814
186,FORLW,0.12,0.0699,"139.521%",87286,top_gainers,2024-09-15 08:01:36.844
187,OMIC,12.38,6.78,"121.0714%",2805543,top_gainers,2024-09-15 08:01:36.871
188,PLMIW,0.0999,0.0499,"99.8%",37481,top_gainers,2024-09-15 08:01:36.901
189,ALSAR,0.12,0.0567,"89.5735%",161579,top_gainers,2024-09-15 08:01:36.946
190,TIL,84.52,38.06,"81.9199%",3874138,top_gainers,2024-09-15 08:01:36.995
191,TNON,7.55,3.15,"71.5909%",24208511,top_gainers,2024-09-15 08:01:37.030
192,ONFOW,0.17,0.0689,"68.1503%",36342,top_gainers,2024-09-15 08:01:37.075
193,NOVVW,0.045,0.0181,"67.2862%",629372,top_gainers,2024-09-15 08:01:37.112
194,CLNNW,0.0498,0.0196,"64.9007%",275,top_gainers,2024-09-15 08:01:37.148
195,MRNOW,0.16,0.06,"60.0%",1067954,top_gainers,2024-09-15 08:01:37.187
196,ABLVW,0.0399,0.0144,"56.4706%",10,top_gainers,2024-09-15 08:01:37.220
197,CGBSW,0.02,0.0072,"56.25%",151083,top_gainers,2024-09-15 08:01:37.258
198,RELIW,0.06,0.0215,"55.8442%",1000,top_gainers,2024-09-15 08:01:37.294
199,APCXW,0.2,0.0698,"53.6098%",13014,top_gainers,2024-09-15 08:01:37.330
200,CEROW,0.01,0.0034,"51.5152%",7046,top_gainers,2024-09-15 08:01:37.371
201,GSIW,2.99,-9.21,-75.4918%,4165537,top_losers,2024-09-15 08:01:37.393
202,CCTSW,0.011,-0.024,-68.5714%,44541,top_losers,2024-09-15 08:01:37.419
203,UPC,0.544,-1.126,-67.4251%,30295669,top_losers,2024-09-15 08:01:37.458
204,COOTW,0.0105,-0.0179,-63.0282%,55000,top_losers,2024-09-15 08:01:37.503
205,SURGW,0.0064,-0.0095,-59.7484%,5459,top_losers,2024-09-15 08:01:37.534
206,LUCYW,0.0281,-0.0298,-51.468%,33636,top_losers,2024-09-15 08:01:37.587
